[epoch:1, iter:156] |Loss: 2.230 | Acc: 20.205% 
[epoch:1, iter:157] |Loss: 2.230 | Acc: 20.263% 
[epoch:1, iter:158] |Loss: 2.229 | Acc: 20.305% 
[epoch:1, iter:159] |Loss: 2.229 | Acc: 20.379% 
[epoch:1, iter:160] |Loss: 2.228 | Acc: 20.422% 
[epoch:1, iter:161] |Loss: 2.228 | Acc: 20.482% 
[epoch:1, iter:162] |Loss: 2.227 | Acc: 20.537% 
[epoch:1, iter:163] |Loss: 2.227 | Acc: 20.610% 
[epoch:1, iter:164] |Loss: 2.226 | Acc: 20.694% 
[epoch:1, iter:165] |Loss: 2.225 | Acc: 20.765% 
[epoch:1, iter:166] |Loss: 2.225 | Acc: 20.809% 
[epoch:1, iter:167] |Loss: 2.224 | Acc: 20.872% 
[epoch:1, iter:168] |Loss: 2.224 | Acc: 20.936% 
[epoch:1, iter:169] |Loss: 2.223 | Acc: 20.990% 
[epoch:1, iter:170] |Loss: 2.222 | Acc: 21.075% 
[epoch:1, iter:171] |Loss: 2.222 | Acc: 21.146% 
[epoch:1, iter:172] |Loss: 2.221 | Acc: 21.200% 
[epoch:1, iter:173] |Loss: 2.221 | Acc: 21.245% 
[epoch:1, iter:174] |Loss: 2.221 | Acc: 21.300% 
[epoch:1, iter:175] |Loss: 2.220 | Acc: 21.333% 
[epoch:1, iter:176] |Loss: 2.220 | Acc: 21.380% 
[epoch:1, iter:177] |Loss: 2.219 | Acc: 21.451% 
[epoch:1, iter:178] |Loss: 2.219 | Acc: 21.517% 
[epoch:1, iter:179] |Loss: 2.218 | Acc: 21.559% 
[epoch:1, iter:180] |Loss: 2.218 | Acc: 21.630% 
[epoch:1, iter:181] |Loss: 2.217 | Acc: 21.724% 
[epoch:1, iter:182] |Loss: 2.216 | Acc: 21.813% 
[epoch:1, iter:183] |Loss: 2.216 | Acc: 21.845% 
[epoch:1, iter:184] |Loss: 2.215 | Acc: 21.892% 
[epoch:1, iter:185] |Loss: 2.215 | Acc: 21.940% 
[epoch:1, iter:186] |Loss: 2.214 | Acc: 22.012% 
[epoch:1, iter:187] |Loss: 2.214 | Acc: 22.069% 
[epoch:1, iter:188] |Loss: 2.213 | Acc: 22.147% 
[epoch:1, iter:189] |Loss: 2.213 | Acc: 22.216% 
[epoch:1, iter:190] |Loss: 2.212 | Acc: 22.307% 
[epoch:1, iter:191] |Loss: 2.211 | Acc: 22.407% 
[epoch:1, iter:192] |Loss: 2.211 | Acc: 22.471% 
[epoch:1, iter:193] |Loss: 2.210 | Acc: 22.535% 
[epoch:1, iter:194] |Loss: 2.210 | Acc: 22.608% 
[epoch:1, iter:195] |Loss: 2.209 | Acc: 22.638% 
[epoch:1, iter:196] |Loss: 2.209 | Acc: 22.656% 
[epoch:2, iter:197] |Loss: 2.086 | Acc: 35.938% 
[epoch:2, iter:198] |Loss: 2.111 | Acc: 34.180% 
[epoch:2, iter:199] |Loss: 2.123 | Acc: 33.073% 
[epoch:2, iter:200] |Loss: 2.123 | Acc: 33.301% 
[epoch:2, iter:201] |Loss: 2.128 | Acc: 32.344% 
[epoch:2, iter:202] |Loss: 2.123 | Acc: 33.398% 
[epoch:2, iter:203] |Loss: 2.122 | Acc: 33.482% 
[epoch:2, iter:204] |Loss: 2.119 | Acc: 33.984% 
[epoch:2, iter:205] |Loss: 2.118 | Acc: 33.767% 
[epoch:2, iter:206] |Loss: 2.116 | Acc: 33.984% 
[epoch:2, iter:207] |Loss: 2.116 | Acc: 33.913% 
[epoch:2, iter:208] |Loss: 2.116 | Acc: 33.984% 
[epoch:2, iter:209] |Loss: 2.114 | Acc: 34.315% 
[epoch:2, iter:210] |Loss: 2.114 | Acc: 34.347% 
[epoch:2, iter:211] |Loss: 2.113 | Acc: 34.427% 
[epoch:2, iter:212] |Loss: 2.111 | Acc: 34.644% 
[epoch:2, iter:213] |Loss: 2.112 | Acc: 34.559% 
[epoch:2, iter:214] |Loss: 2.109 | Acc: 34.766% 
[epoch:2, iter:215] |Loss: 2.109 | Acc: 34.786% 
[epoch:2, iter:216] |Loss: 2.107 | Acc: 35.039% 
[epoch:2, iter:217] |Loss: 2.104 | Acc: 35.398% 
[epoch:2, iter:218] |Loss: 2.102 | Acc: 35.582% 
[epoch:2, iter:219] |Loss: 2.102 | Acc: 35.564% 
[epoch:2, iter:220] |Loss: 2.102 | Acc: 35.628% 
[epoch:2, iter:221] |Loss: 2.102 | Acc: 35.594% 
[epoch:2, iter:222] |Loss: 2.102 | Acc: 35.577% 
[epoch:2, iter:223] |Loss: 2.102 | Acc: 35.576% 
[epoch:2, iter:224] |Loss: 2.102 | Acc: 35.505% 
[epoch:2, iter:225] |Loss: 2.100 | Acc: 35.776% 
[epoch:2, iter:226] |Loss: 2.101 | Acc: 35.625% 
[epoch:2, iter:227] |Loss: 2.101 | Acc: 35.660% 
[epoch:2, iter:228] |Loss: 2.101 | Acc: 35.645% 
[epoch:2, iter:229] |Loss: 2.101 | Acc: 35.630% 
[epoch:2, iter:230] |Loss: 2.101 | Acc: 35.616% 
[epoch:2, iter:231] |Loss: 2.101 | Acc: 35.536% 
[epoch:2, iter:232] |Loss: 2.101 | Acc: 35.536% 
[epoch:2, iter:233] |Loss: 2.100 | Acc: 35.610% 
[epoch:2, iter:234] |Loss: 2.099 | Acc: 35.752% 
[epoch:2, iter:235] |Loss: 2.099 | Acc: 35.677% 
[epoch:2, iter:236] |Loss: 2.099 | Acc: 35.723% 
[epoch:2, iter:237] |Loss: 2.099 | Acc: 35.785% 
